PCS_ESE;label;Effectifs en EQTP;Salaire moyen en EQTP;Année
624C;Monteurs qualifiés d'ensembles mécaniques travaillant en moyenne ou en grande série;34470;2400;2023
624D;Monteurs qualifiés en structures métalliques;21240;2200;2023
624E;Ouvriers qualifiés de contrôle et d'essais en mécanique;15830;2400;2023
624F;Ouvriers qualifiés des traitements thermiques et de surface sur métaux;18840;2300;2023
624G;Autres mécaniciens ou ajusteurs qualifiés (ou spécialité non reconnue);8290;2400;2023
625A;Pilotes d'installation lourde des industries de transformation : agroalimentaire, chimie, plasturgie, énergie;22040;2600;2023
625B;Ouvriers qualifiés et agents qualifiés de laboratoire : agroalimentaire, chimie, biologie, pharmacie;22400;2200;2023
625C;Autres opérateurs et ouvriers qualifiés de la chimie (y.c. pharmacie) et de la plasturgie;56690;2600;2023
625D;Opérateurs de la transformation des viandes;38870;2000;2023
625F;Autres opérateurs travaillant sur installations ou machines : industrie agroalimentaire (hors transformation des viandes);55370;2300;2023
625G;Autres ouvriers de production qualifiés ne travaillant pas sur machine : industrie agroalimentaire (hors transformation des viandes);15380;2200;2023
625H;Ouvriers qualifiés des autres industries (eau, gaz, énergie, chauffage);15830;2600;2023
626A;Pilotes d'installation lourde des industries de transformation : métallurgie, production verrière, matériaux de construction;16480;2400;2023
626B;Autres opérateurs et ouvriers qualifiés : métallurgie, production verrière, matériaux de construction;62630;2400;2023
626C;Opérateurs et ouvriers qualifiés des industries lourdes du bois et de la fabrication du papier-carton;10820;2600;2023
627A;Opérateurs qualifiés du textile et de la mégisserie;11990;2000;2023
627B;Ouvriers qualifiés de la coupe des vêtements et de l'habillement, autres opérateurs de confection qualifiés;9450;2000;2023
627C;Ouvriers qualifiés du travail industriel du cuir;10110;2400;2023
627D;Ouvriers qualifiés de scierie, de la menuiserie industrielle et de l'ameublement;30990;2100;2023
627E;Ouvriers de la photogravure et des laboratoires photographiques et cinématographiques;1690;2100;2023
627F;Ouvriers de la composition et de l'impression, ouvriers qualifiés de la brochure, de la reliure et du façonnage du papier-carton;27840;2300;2023
628A;Mécaniciens qualifiés de maintenance, entretien : équipements industriels;63430;2500;2023
628B;Electromécaniciens, électriciens qualifiés d'entretien : équipements industriels;35970;2600;2023
628C;Régleurs qualifiés d'équipements de fabrication (travail des métaux, mécanique);17760;2500;2023
628D;Régleurs qualifiés d'équipements de fabrication (hors travail des métaux et mécanique);11920;2500;2023
628E;Ouvriers qualifiés de l'assainissement et du traitement des déchets;17860;2100;2023
628G;Ouvriers qualifiés divers de type industriel;85710;2200;2023
631A;Jardiniers;61290;1700;2023
632A;Maçons qualifiés;148920;2000;2023
